Nuclide,Parent,Comparator counts/ng,Sample counts/ng,Uncertainty,Location
Sr-94,Pu-239,37.96,43.19,0.0332,PT-2 (Corrected)
Sb-132,Pu-239,73.07,54.05,0.0313,PT-2 (Corrected)
Y-94,Pu-239,25.97,21.39,0.0631,PT-2 (Corrected)
Sr-93,Pu-239,23.14,24.78,0.0577,PT-2 (Corrected)
Rb-90,Pu-239,35.88,30.62,0.0506,PT-2 (Corrected)
Ce-145,Pu-239,63.25,74.56,0.0273,PT-2 (Corrected)
Sb-132,Pu-239,91.39,74.78,0.0280,PT-2 (Corrected)
Cs-140,Pu-239,43.61,43.94,0.0432,PT-2 (Corrected)
Sr-93,Pu-239,87.97,92.52,0.0248,PT-2 (Corrected)
Rh-108,Pu-239,77.27,68.42,0.0359,PT-2 (Corrected)
Te-133,Pu-239,40.28,37.43,0.0565,PT-2 (Corrected)
La-144,Pu-239,49.13,49.79,0.0446,PT-2 (Corrected)
Tc-104,Pu-239,120.04,153.01,0.0189,PT-2 (Corrected)
Sr-94,Pu-239,37.96,45.30,0.0320,PT-2 (Corrected)
Sb-132,Pu-239,73.07,58.06,0.0296,PT-2 (Corrected)
Y-94,Pu-239,25.97,25.17,0.0547,PT-2 (Corrected)
Sr-93,Pu-239,23.14,20.05,0.0696,PT-2 (Corrected)
Rb-90,Pu-239,35.88,32.32,0.0481,PT-2 (Corrected)
Ce-145,Pu-239,63.25,79.00,0.0263,PT-2 (Corrected)
Sb-132,Pu-239,91.39,74.11,0.0283,PT-2 (Corrected)
Cs-140,Pu-239,43.61,48.78,0.0394,PT-2 (Corrected)
Sr-93,Pu-239,87.97,96.59,0.0241,PT-2 (Corrected)
Rh-108,Pu-239,77.27,81.82,0.0359,PT-2 (Corrected)
Te-133,Pu-239,40.28,46.03,0.0492,PT-2 (Corrected)
La-144,Pu-239,49.13,55.52,0.0415,PT-2 (Corrected)
Tc-104,Pu-239,120.04,152.39,0.0189,PT-2 (Corrected)
Sr-94,Pu-239,37.96,48.46,0.0308,PT-2 (Corrected)
