Sample,Isotope,Certified mass (ng),Certified uncertainty,Calculated mass (ng),Calculated uncertainty,Location
J1a,Pu-239,32.34,0.0087,31.9363,0.05862,PT-2 (Corrected)
J2,Pu-239,33.6,0.0083,34.8105,0.05265,PT-2 (Corrected)
J3,Pu-239,33.46,0.0084,35.104,0.04925,PT-2 (Corrected)
J1b,Pu-239,32.34,0.0087,32.9749,0.06918,PT-2 (Corrected)
J4a,U-233,46.2029,0.0339,49.0389,0.02504,PT-2 (Corrected)
J5,U-233,46.986,0.0333,51.0985,0.02622,PT-2 (Corrected)
J6,U-233,47.7691,0.0328,48.7449,0.02614,PT-2 (Corrected)
J4b,U-233,46.2029,0.0339,48.9194,0.02835,PT-2 (Corrected)
J7a,U-235,41.04,0.0351,41.3783,0.02735,PT-2 (Corrected)
J8,U-235,42.48,0.0339,41.0297,0.02900,PT-2 (Corrected)
J9,U-235,42.48,0.0339,39.884,0.03176,PT-2 (Corrected)
J7b,U-235,41.04,0.0351,40.3532,0.03864,PT-2 (Corrected)
J7a,U-238,5660.689655,0.0351,5572.63761,0.00625,PT-2 (Corrected)
J8,U-238,5859.310345,0.0339,5714.715685,0.00612,PT-2 (Corrected)
J9,U-238,5859.310345,0.0339,5559.955245,0.00622,PT-2 (Corrected)
J7b,U-238,5660.689655,0.0351,5586.549388,0.00626,PT-2 (Corrected)
J1a,Pu-239,32.34,0.0087,36.60,0.05860,PT-2 (Uncorrected)
J2,Pu-239,33.60,0.0083,39.70,0.05265,PT-2 (Uncorrected)
J3,Pu-239,33.46,0.0084,40.23,0.04925,PT-2 (Uncorrected)
J1b,Pu-239,32.34,0.0087,37.79,0.06918,PT-2 (Uncorrected)
J4a,U-233,46.20,0.0339,58.40,0.02504,PT-2 (Uncorrected)
J5,U-233,46.99,0.0333,60.85,0.02622,PT-2 (Uncorrected)
J6,U-233,47.77,0.0328,58.05,0.02614,PT-2 (Uncorrected)
J4b,U-233,46.20,0.0339,58,0.02835,PT-2 (Uncorrected)
J7a,U-235,41.04,0.0351,50.45,0.02735,PT-2 (Uncorrected)
J8,U-235,42.48,0.0339,50.02,0.02900,PT-2 (Uncorrected)
J9,U-235,42,0.0339,49,0.03176,PT-2 (Uncorrected)
J7b,U-235,41.04,0.0351,48.97,0.03864,PT-2 (Uncorrected)
J7a,U-238,5661,0.0351,4226,0.00625,PT-2 (Uncorrected)
J8,U-238,5859,0.0339,4334,0.00612,PT-2 (Uncorrected)
J9,U-238,5859,0.0339,4216,0.00622,PT-2 (Uncorrected)
J7b,U-238,5661,0.0351,4236,0.00626,PT-2 (Uncorrected)
J1a,Pu-239,32,0.0087,34,0.04390,PT-1
J2,Pu-239,33.60,0.0083,34.37,0.04290,PT-1
J3,Pu-239,33.46,0.0084,33.95,0.05380,PT-1
J1b,Pu-239,32.34,0.0087,33.15,0.05080,PT-1
J4a,U-233,46.20,0.0339,50.80,0.03170,PT-1
J5,U-233,46.99,0.0333,51.01,0.01990,PT-1
J6,U-233,47.77,0.0328,51.04,0.03280,PT-1
J4b,U-233,46.20,0.0339,49,0.02860,PT-1
J7a,U-235,41.04,0.0351,41.61,0.02970,PT-1
J8,U-235,42.48,0.0339,41.47,0.03780,PT-1
J9,U-235,42,0.0339,41,0.03790,PT-1
J7b,U-235,41.04,0.0351,41.59,0.03690,PT-1
J7a,U-238,5661,0.0351,5709,0.00346,PT-1
J8,U-238,5859,0.0339,5721,0.00347,PT-1
J9,U-238,5859,0.0339,5636,0.00349,PT-1
J7b,U-238,5661,0.0351,5638,0.00351,PT-1
